NaN	word	sent1	sent2	mean	annotator1	annotator2	annotator3
1479	полукруг	Неправильный и не особенно высокий четырехугольник, нечто вроде каменного ящика, с выступающими пузатым <b><i>полукругом</i></b> наугольными башнями, низкими, неуклюжими, -- здание, выкрашенное серовато-белою краскою; ряды черных окон за толстыми железными решетками; внизу -- форменные будки и апатично бродящие часовые -- таков наружный вид главной петербургской тюрьмы.	Даже не <b><i>полукругом</i></b>, а чуть удлиненной параболой.	4.0	4	4	4
1480	полукруг	Перед окончанием богослужения становятся <b><i>полукругом</i></b> и начинают кланяться и целоваться друг с другом; мужчины обходят поочередно всех мужчин, женщины -- женщин.	Но особняк Фридриха и Елены был чуть глубже утоплен в зеленой поросли кустов и стоял наособицу, завершая <b><i>полукруг</i></b> улицы.	2.6666666666666665	2	2	4
1481	полукруг	Над домом была высокая в два отдельных ската черепичная крыша; от парадного подъезда, выходившего на улицу, шли две широкие лестницы по обе стороны от дверей в виде больших <b><i>полукругов</i></b>.	Додик Шапиро, хасид-хасидом в косо нацепленной Никитиной бороде, блеял, облапив Аринину талию: -- Аринушка, я царь или не царь Иванов-Петров-Сидоров вчетвером-впятером расставляли стулья аккуратным <b><i>полукругом</i></b>.	3.6666666666666665	4	4	3
1482	полукруг	Все посели в <b><i>полукруг</i></b> на высоком крыльце и впереди всех, на высоком серебряном стульчике сидит Альмара-душа, и вся краса ее, словно солнце, играет и светится.	Эскадрон стоял <b><i>полукругом</i></b> и лицами -- глаз не было видно -- смотрел на него.	2.6666666666666665	4	3	1
1483	полукруг	На линии из всякой точки можно восставить перпендикул; ибо около всякой точки можно описать полкруга с одной стороны, воображать <b><i>полукруг</i></b> разделенным пополам; тогда чрез средину будет проходить перпендикул.	"-- Неужели ты думаешь, что и в этом понимаешь Она надела мешковатое черное платье с огромным ""смайлом"" -- двумя белыми точками глаз и <b><i>полукругом</i></b> улыбающегося рта, из которого вдобавок торчал красный высунутый язык."	1.3333333333333333	1	2	1
1484	полукруг	Против стола, установленного перед троном, разместились, в виде <b><i>полукруга</i></b>, с одной стороны русские сановники и придворные кавалеры, а другая сторона, назначенная для посольской свиты, оставалась пока никем не занятой.	Посадили <b><i>полукругом</i></b>.	4.0	4	4	4
1485	полукруг	Багряно-огненный <b><i>полукруг</i></b> убегал в, невозвратную глубину.	Руки его чертили на ней два пенистых <b><i>полукруга</i></b>.	3.3333333333333335	4	2	4
1486	полукруг	Красная точка, описав в темноте <b><i>полукруг</i></b>, упала, рассыпалась искорками и покатилась, а потом осталась лежать неподвижно в темноте.	Расставили <b><i>полукругом</i></b>.	3.6666666666666665	3	4	4
1487	полукруг	Посредине было сделано возвышение, на котором стояла кушетка под балдахином, от кушетки <b><i>полукругом</i></b> с каждой стороны стояло по шести ваз из великолепного белого мрамора самой тонкой работы, и в них горели лампы.	Обрезок трубы описал в воздухе <b><i>полукруг</i></b>.	3.0	4	1	4
1488	полукруг	Разместились <b><i>полукругом</i></b> перед церковными воротами.	-- Побольше бы таких ЧП, -- с наслаждением щегольнул англичанин советским новоязом и, описав широкий приглашающий <b><i>полукруг</i></b> рукой, пророкотал: -- Добро пожаловать на огонек, enfant terrible Никитин!	2.3333333333333335	3	1	3
1489	полукруг	Диван был устроен так, что на ночь свободное пространство задвигалось и покрывалось особым матрасом, отчего образовывалась постель в виде <b><i>полукруга</i></b> во весь альков.	Плеск-плеск, плескалась черная вода под ними, и Мина уже собралась с духом, чтобы спросить Марка о страшном и открыла рот, когда чугунная птица с криком оторвалась от фонарной опоры и, описав <b><i>полукруг</i></b>, улетела, громко хлопая крыльями, в море, качаться на волнах, плеск-плеск.	2.6666666666666665	4	3	1
1490	полукруг	Посл поклона предъ нимъ, атлетъ получаетъ отъ него родъ благословеня, и его ведутъ на арену, т. е. въ средину <b><i>полукруга</i></b>.	-- Видишь, легкий какой, смелый какой <b><i>полукруг</i></b>!	2.0	2	2	2
1491	полукруг	Она была очень велика, так что казалась чем-то вроде собора, за которым стояли рядами, <b><i>полукругом</i></b>, другие меньшие палатки.	Светлейший и сиятельные ждали его, сидя <b><i>полукругом</i></b> вокруг мерцающего спокойными тонами прозрачного укороченного портика.	4.0	4	4	4
1492	полукруг	Невдали от этой тропинки темнел радостный, успокоенный лес, а за рекою громадным <b><i>полукругом</i></b> тянулись равнины с раскиданными на них рощами и селами, и по ним змеились пыльно-серые ленточки дорог.	-- И дулом прочертил неторопливый <b><i>полукруг</i></b>, выбирая место: -- вот, в горло, например, в яремную ямку.	4.0	4	4	4
1493	полукруг	Близ ее находятся развалины древнего монастыря, состоящего из ограды, разделенной на двенадцать просторных келлий в <b><i>полукруг</i></b>; посреди их стоит храм, будто двенадцати апостолов.	"Хотите ознакомиться Отдел ариософии напоминал скорее хоровой ферейн в момент подготовки к народному празднику: несколько полноватых мужчин и женщин в нарядных крестьянских костюмах, сидя <b><i>полукругом</i></b> в позе лотоса, пели на дурном санскрите ""серебряную сутру"" на мотив ""Майн либер Августин""."	3.0	3	4	2
1494	полукруг	Жители Кореи, не смотря на географическое положение, столь благоприятствующее развитию международных сношений и попытки иностранцев завести таковые, почти до последних дней следовали принципам китайцев, устраняясь от всякого знакомства с иностранцами и чужеземными делами, на море; для этого отказавшись от постройки кораблей, а на суше отделив свое государство огромной необитаемой полосой <b><i>полукругом</i></b>.	Железнодорожные пути местного вокзала были устроены таким образом, что состав стоял, как бы образуя <b><i>полукруг</i></b>.	3.6666666666666665	4	4	3
1495	полукруг	Широким <b><i>полукругом</i></b> около стола сидят профессора факультета -- между ними Каченовский, Давыдов, Шевырев, Крюков -- и все хранят какое-то торжественное молчание, как-то особенно, как-то странно нас оглядывают.	В головной части зала сохранилось возвышение с дверными проемами, справа и слева от которых <b><i>полукругами</i></b> спускаются две мраморные лестницы.	2.6666666666666665	1	3	4
1496	полукруг	Тотчас за Владимировкой начинается громадный луг в несколько сот десятин; он имеет вид <b><i>полукруга</i></b>, версты четыре в диаметре.	Когда дошли до середины и <b><i>полукруг</i></b> замкнулся, старик велел принести камушки, не замечая моего замешательства, пальцем показал, какие.	3.0	4	2	3
1497	полукруг	Не оставалось ничего другого, как ждать, что будет дальше, и ждать пришлось недолго: описавши <b><i>полукруг</i></b>, лошади стремглав понеслись по дороге под гору и через головы полетели в ров.	Располагаемся <b><i>полукругом</i></b>.	4.0	4	4	4
1498	полукруг	Когда солнце начнет склоняться к западу и вечерняя прохлада расстилается по воздуху, тогда все собираются в <b><i>полукруг</i></b>; посреди оного возвышается высокий гладкий шест, на вершине которого блестит вызолоченный деревянный орел с распростертыми крыльями.	Над горизонтом появился алый <b><i>полукруг</i></b> солнца, а когда оно выкатилось, глаза у людей заблестели ярче.	2.3333333333333335	1	4	2
1499	понедельник	Я сказал князю, что рукопись будет доставлена к нему не позже <b><i>понедельника</i></b>.	Билет на четырнадцать пятьдесят один в <b><i>понедельник</i></b>.	4.0	4	4	4
1500	понедельник	Выехав отсюда в ночь с <b><i>понедельника</i></b> на вторник, он в субботу в 6-м часу после обеда был уже на месте.	-- Я дождусь <b><i>понедельника</i></b>.	4.0	4	4	4
1501	понедельник	В <b><i>понедельник</i></b>, 16 декабря, в половине лекции моей в университете, я получаю от попечителя записку с приглашением немедленно к нему приехать.	"Теленеделя с Ириной Петровской ""Вроде не бездельники и могли бы жить -- им бы <b><i>понедельники</i></b> взять и отменить..."""	4.0	4	4	4
1502	понедельник	Лобшицу в <b><i>понедельник</i></b> заказ сдавать, а он тянет.	<b><i>Понедельники</i></b> ведь иногда начинаются в субботу!) Ultra Colour Rich Lipstick & Nail Enamel от Avon -- помада и лак для ногтей удивительных оттенков, которым еще не придумали достойных названий.	3.6666666666666665	4	4	3
1503	понедельник	Показания Гаврилы Рыжего о нападении на Якова Милюкова (19 февраля 1746) И в нынешнем 746-м году на Сырной неделе в <b><i>понедельник</i></b> он, Гаврила, ходил в Немецкую слободу на рынок, что словет Ладуга, и на том рынке он, Гаврила, сошелся з беглыми салдатами Иваном прозвище Стромынским, да с Савельем... и оныя Иван и Савелей звали ево, Гаврилу, на Троицкую дорогу для разбою проезжих людей, и он, Гаврила, с ними пошел.	Отсчитывая пятидесятирублевые купюры, Роман вдруг остановился, посмотрел на Геннадия и спросил: -- Ген, а как Панкрашина брала колье в бутике Водитель такую поездку отрицает, в <b><i>понедельник</i></b>, кроме как к Дорожкиной, он ее никуда не возил, и по журналу в гараже все совпадает.	4.0	4	4	4
1504	понедельник	Внутренняя нужда и бедность и тихие речи Головниной заставили меня решиться нынешний пост говеть, в <b><i>понедельник</i></b>, накануне своего Ангела, с которым поздравляю и тебя, если Бог сподобит приобщиться.	Выиграв в <b><i>понедельник</i></b> два сета, российский мастер уступил третий.	4.0	4	4	4
1505	понедельник	27-го, <b><i>понедельник</i></b>.	Ты не найдешь Субботу и воскресенье по инерции, в <b><i>понедельник</i></b> практически избавилась от завихрений, и вдруг мама Гарика: -- Ася, тебя к телефону.	4.0	4	4	4
1506	понедельник	20 ноября (<b><i>понедельник</i></b>) ...В два часа пошли копать снег лопатами и потом гуляли все с Государем и Императрицею.	В <b><i>понедельник</i></b> начальник Генштаба Вооруженных сил РФ генерал армии Анатолий Квашнин прибыл в штаб ОГВ в Ханкалу с инспекционной поездкой.	4.0	4	4	4
1507	понедельник	Я сказала, что у меня болит спина, но совсем напрасно, теперь она у меня ничуть не болит, а мама беспокоится и не хочет пускать в <b><i>понедельник</i></b>.	"В тот же день устроился, и все выходные отмечал ""начало трудовой жизни"" -- Валентина сама сбегала за водкой, -- а с <b><i>понедельника</i></b> начал водить тот самый единственный автобус, который вез из их района до ближайшей станции метро."	4.0	4	4	4
1508	понедельник	Очень бы хотелось в <b><i>понедельник</i></b> окончательно устроиться в Плещееве, но если нельзя, то я, конечно, подожду, сколько угодно.	По словам адвоката чиновника Владимира Каталикова, в <b><i>понедельник</i></b> Алексеев опроверг обвинительное заключение.	4.0	4	4	4
1509	понедельник	Как нарочно, в <b><i>понедельник</i></b> был я окружен неприятностями, досадами -- ну, жизнью -- понимаешь!	Мы открыты с <b><i>понедельника</i></b> по пятницу с 8 до 20 часов, в субботу с 10 до 14 часов.	3.3333333333333335	4	2	4
1510	понедельник	В двух селах составил списки будущих нахлебников и в начале будущей недели (в <b><i>понедельник</i></b>, вторник или далее всего в среду) открываю две столовые в селах Елфимове и Печингуши, принадлежащих к одному из сильно нуждающихся участков земского начальника Пушкина.	-- Ведь награждают не каждый <b><i>понедельник</i></b>.	4.0	4	4	4
1511	понедельник	<b><i>Понедельник</i></b>, 24 До прибытия к острову Атте с нами ничего достойного примечания не случилось.	В <b><i>понедельник</i></b> пост начальника управления финансов заняла Мария Винтер.	4.0	4	4	4
1512	понедельник	В страстной <b><i>понедельник</i></b> его снова не оставили по этому предмету в покое, и часу в пятом утра к нему вдруг в спальню просунул свою морду Ванька и стал будить его.	В <b><i>понедельник</i></b> центристы объявили, что одобряют его.	3.6666666666666665	3	4	4
1513	понедельник	9, Октября 19, <b><i>понедельник</i></b>.	"Дым коромыслом на двух новых выставках В <b><i>понедельник</i></b> в ""Кафе дез Артист"", что в Камергерском переулке, открывается выставка французского художника Бернара Бернара ""Сигары и искусство""."	4.0	4	4	4
1514	понедельник	<b><i>Понедельник</i></b>, 2 ноября.	"На ""<b><i>понедельниках</i></b>"" гостей встречали молодые актеры, а в нижнем фойе их принимали Василий Иванович Качалов, Иван Михайлович Москвин, Леонид Миронович Леонидов и другие ""старики""."	2.0	4	1	1
1515	понедельник	Первое заседание мирной конференции состоится в <b><i>понедельник</i></b>.	Обнаружен архив Яндарбиева В <b><i>понедельник</i></b> в Управление ФСБ по Чеченской Республике был передан архив бывшего президента непризнанной Ичкерии Зелимхана Яндарбиева.	4.0	4	4	4
1516	понедельник	В <b><i>понедельник</i></b> я явился в Совет совсем уже приготовленный к предстоявшей мне неприятной сцене и вместе к ответу, когда сделано мне будет замечание, что вижу в нем одно особенное монаршее снисхождение к непростительной моей вине.	Начиная с субботы температура начнет повышаться и в <b><i>понедельник</i></b> достигнет 0...-5! ночью и 0... +5! днем.	4.0	4	4	4
1517	понедельник	За границей Международная телеграфная конференция В <b><i>понедельник</i></b> (19-го мая) в Лондоне открылась международная конференция по вопросам телеграфного дела.	Буду очень рада видеть Вас в <b><i>понедельник</i></b>.	4.0	4	4	4
1518	понедельник	Она рассказала дочери, что они завтра поедут к обедне в Борисоглебовскую церковь, а что в <b><i>понедельник</i></b> Саша опять будет переодет в женское платье.	Нобелевскую премию за медицину вновь получили генетики В <b><i>понедельник</i></b> ежегодная Нобелевская премия в области медицины и физиологии присуждена двум британцам -- 75-летнему Сиднею Бреннеру и 60-летнему Джону Салстону -- и 55-летнему американцу Роберту Горвицу.	4.0	4	4	4
1519	понедельник	<b><i>Понедельник</i></b>, 6 июля.	А в <b><i>понедельник</i></b> выходи на работу, как обычно.	3.6666666666666665	4	3	4
1520	понедельник	В <b><i>понедельник</i></b> открывается французский театр, причисленный уже к императорским театрам; в это время я буду далеко от Москвы, и задняя забывая, простираться впредь.	Он сменил на этом посту Андреаса Папандреу (подавшего в <b><i>понедельник</i></b> в отставку по причине тяжелой болезни), набрав во втором туре тайного голосования 86 голосов.	4.0	4	4	4
1521	понедельник	Лекционные дни в обществе приказчиков установлены окончательно: по <b><i>понедельникам</i></b> будет читать по истории г-жа Червинская, по пятницам по анатомии доктор Благовещенский.	<b><i>Понедельник</i></b> посвящен бесплотным силам, вторник -- пророкам, среда и пятница -- воспоминанию крестной смерти Иисуса, суббота -- поминовению усопших, главный же день посвящен воскресению Господню.	4.0	4	4	4
1522	понедельник	"В <b><i>понедельник</i></b>, 21, я получу эти деньги и, по возможности, отправлю Вам в тот же день не менее 250 р. Оказывается, что Ф[лорентий] Фед[орович] не посылал в редакцию ""Рус[ских] вед[омостей]"", да и вообще никуда, -- ни книг, ни объявлений."	"Приглашения на наши ""<b><i>понедельники</i></b>"" были почетны, и их добивались многие знаменитости помоложе, но так уж повелось -- приглашали старших."	3.6666666666666665	3	4	4
1523	понедельник	А с <b><i>понедельника</i></b> приметесь за работу...	Теперь она приедет в <b><i>понедельник</i></b>.	4.0	4	4	4
1524	понедельник	3 мая, в <b><i>понедельник</i></b> вечером, Батюшка оставил меня у себя.	И Борис Надеждин предлагал посвятить недоверию специальное заседание в <b><i>понедельник</i></b> или вторник.	4.0	4	4	4
1525	понедельник	"От русского посла в Константинополе получена телеграмма: ""Начало военных действий назначено на <b><i>понедельник</i></b>."	"СМЕРТОНОСНЫЕ ""НЕФТЕВОЗЫ"" В ночь на <b><i>понедельник</i></b>, как обычно, милиционеры Пригородного района Северной Осетии проводили ""плановый рейд"" по пресечению незаконной перевозки нефтепродуктов."	4.0	4	4	4
1526	понедельник	Наша Школа началась в прошлый <b><i>понедельник</i></b>.	В <b><i>понедельник</i></b> еще до обеда нам с папой удалось рассчитаться со всеми долгами.	4.0	4	4	4
1527	понедельник	В <b><i>понедельник</i></b> император Вильгельм выезжает в обычное путешествие на север.	"Согласно пресс-релизу руководства ЦЕРНа, распространенному 2 апреля, ""первые пучки протонов могут начать циркулировать в промежутке с субботы по <b><i>понедельник</i></b>""."	4.0	4	4	4
1528	понедельник	Следовал рапорт Гарнье-Пажеса, который уже прочитан был им за болезнью [его г. Дюклерком] на следующем заседании (<b><i>понедельник</i></b> 8 мая).	"А уже в <b><i>понедельник</i></b> пресс-секретарь Белого дома Арви Фляйшер ""отозвал"" это требование."	4.0	4	4	4
1529	поставщик	Арестованы <b><i>поставщики</i></b> живого товара Бабиченко и его сожительница Уткина.	Однако эти предложения в корне не устраивают <b><i>поставщиков</i></b>.	3.6666666666666665	4	4	3
1530	поставщик	Узнав, что он умеет хорошо читать и писать, знает арифметику и мастерски считает на счетах, Григорий Александрович спросил его: -- Скажи-ка мне, Яковкин, не хочешь ли ты быть <b><i>поставщиком</i></b> всего нужного нам в полевые лазареты для больных моей армии -- Ваша светлость, да у меня не только лошади с повозкой, но и кнутовища нет, а рад бы душой служить вашей светлости, -- ответил Яковкин, не поняв вопроса.	"Независимые наблюдатели частично поддерживают ""Газпром"", частично -- независимых <b><i>поставщиков</i></b>."	3.3333333333333335	4	3	3
1531	поставщик	За два месяца до разрыва князя с Машей практический человек пронюхал, что фонды ее сильно падают у Шадурского, и потому позадержал платеж <b><i>поставщикам</i></b>, прося их пообождать до следующего срока.	"Чего, например, стоит такой пассаж: ""Нельзя забывать, что Россия является крупным производителем и <b><i>поставщиком</i></b> энергоресурсов."	4.0	4	4	4
1532	поставщик	Главным <b><i>поставщиком</i></b> кандидатов на гражданские должности по-прежнему было дворянство; но из него наиболее годные к службе люди были заняты в полках, а для присутствий и канцелярий оставалось только отпускное, отставное или залежавшееся по усадьбам.	В отличие от московских шведский <b><i>поставщик</i></b> подошел ей по всем статьям: он не расхаживает по дому в трусах, пукает только в отведенных местах и не находит Лариску дурой.	2.3333333333333335	2	4	1
1533	поставщик	От этого приготовления в перестройке и поправке дома нашего для приема родных длятся все лето и еще не кончены; начатые работы требуют продолжения и окончания, а <b><i>поставщики</i></b> не в силах выполнить своих подрядов, так что случается одну и ту же вещь заказывать, а следовательно, и платить по три и по четыре раза.	-- Кроме того, в Министерство обороны в этом году на важнейшие направления пришли новые люди, у них пока нет опыта практического взаимодействия с ОПК, они не знают особенностей работы заказчика со сложной системой предприятий, конструкторских бюро и целой армией их смежников и <b><i>поставщиков</i></b>.	4.0	4	4	4
1534	поставщик	"Не довольствуясь пунктуальным исполнением предписаний пользующего его врача, он совещался потихоньку и с другими врачами, совещался и с больными, с которыми знакомился в ваннах и у источников, совещался с аптекарем и другими своими <b><i>поставщиками</i></b>, накупил груды медицинских книг, брошюр и лечебников, накупил врачебных вин и лекарств по газетным объявлениям, каждый день находил в себе новую болезнь, и так подробно, так многозначительно излагал доктору свои болезненные ощущения, что молодой француз, выслушивая его с глубокомысленным и вежливым участием, в то же время не без нежного сострадания поглядывал украдкой на бледную, хорошенькую Мимочку и, покручивая концы шелковистых усов, говорил ей взглядом: ""Бедняжка!"	<b><i>Поставщику</i></b> шасси компании Lola просто невыгодно вкладывать деньги в разработку автомобилей, ведь круг покупателей каждого поколения машин ограничивается, по сути, полутора-двумя десятками команд международного чемпионата (большинство национальных, да и возрожденное в этом году европейское первенство Ф-3000 проводится на автомобилях, списанных из МЧ).	4.0	4	4	4
1535	поставщик	"Веселый, мягкий и добродушный сибарит, Вершинин не был особенно разборчив в средствах для удовлетворения потребностей своей широкой барской натуры, и так как жалованья ему не хватало, то он с легкомыслием слабого, неустойчивого человека подписывал сомнительные счета <b><i>поставщиков</i></b> и не брезговал разными ""экономиями""."	Многие полагают, что Россия интересует Европу только как <b><i>поставщик</i></b> сырья и программистов.	3.3333333333333335	3	4	3
1536	поставщик	Продано почетному гражданину, краснослободскому купеческому 1-ой гильдии внуку Ивану Абрамову Ненюкову мука по 11 рублей ассигнациями муки 1002 куля овес по 6 рублей 25 копеек овса 3425 кулей Стало быть, в остатке изо всего количества: муки 473 куля и овса 65 кулей, которые <b><i>поставщики</i></b> взяли за себя.	"Сегодня наше предприятие находится в ""тройке"" основных <b><i>поставщиков</i></b> удобрений в России и, конечно, занимает первое место в Самарской области."	4.0	4	4	4
1537	поставщик	Это был намек на существовавшее среди театралов и журналистов убеждение, что всемогущий начальник репертуара слишком уж явно покровительствует драматургу В. А. Дьяченке, который одно время был чуть ли не единственным <b><i>поставщиком</i></b> новинок.	Критерии отнесения производителей и покупателей электрической энергии к категории крупных производителей и крупных покупателей устанавливаются Правительством Российской Федерации; субъекты оптового рынка -- юридические лица, получившие в установленном настоящим Федеральным законом порядке право участвовать в отношениях, связанных с обращением электрической энергии на оптовом рынке, в соответствии с утверждаемыми Правительством Российской Федерации правилами оптового рынка; розничные рынки электрической энергии (далее -- розничные рынки) -- сфера обращения электрической энергии вне оптового рынка с участием потребителей электрической энергии; объекты электросетевого хозяйства -- линии электропередачи, трансформаторные и иные подстанции, распределительные пункты и иное предназначенное для обеспечения электрических связей и осуществления передачи электрической энергии оборудование; услуги по передаче электрической энергии -- комплекс организационно и технологически связанных действий, обеспечивающих передачу электрической энергии через технические устройства электрических сетей в соответствии с техническими регламентами; услуги по оперативно-диспетчерскому управлению в электроэнергетике -- комплекс мер по централизованному управлению технологическими режимами работы технических устройств электростанций, электрических сетей и энергопринимающего оборудования потребителей электрической энергии с управляемой нагрузкой, осуществляемых в целях обеспечения надежного энергоснабжения и качества электрической энергии, соответствующих техническим регламентам и иным обязательным требованиям; энергосбытовые организации -- организации, осуществляющие в качестве основного вида деятельности продажу другим лицам произведенной или приобретенной электрической энергии; двусторонний договор купли-продажи электрической энергии -- соглашение, в соответствии с которым <b><i>поставщик</i></b> обязуется поставить покупателю электрическую энергию в определенном количестве и определенного соответствующими техническими регламентами и иными обязательными требованиями качества, а покупатель обязуется принять и оплатить электрическую энергию на условиях заключенного в соответствии с правилами оптового рынка и основными положениями функционирования розничных рынков договора; потребители электрической энергии с управляемой нагрузкой -- категория потребителей электрической энергии, которые в силу режимов работы (потребления электрической энергии) влияют на качество электрической энергии, надежность работы Единой энергетической системы России и оказывают в связи с этим на возмездной договорной основе услуги по обеспечению вывода Единой энергетической системы России из аварийных ситуаций.	3.0	1	4	4
1538	поставщик	Сверху говорят: -- А ты что сделал со своим талантом А ты что сделал со своей душой Снизу <b><i>поставщики</i></b> держат за ноги и кричат: -- Нет, дозвольте.	"Следовательно, промышленность России относится к одному из крупных в мире ""<b><i>поставщиков</i></b>"" отработанных масел и прочих технических жидкостей."	3.0	3	3	3
1539	поставщик	Я застал Бауэра вне себя от беготни по магазейнам, в возне с башмачниками и <b><i>поставщиками</i></b> модных вещей.	-- Это как <b><i>поставщик</i></b> Двора Его Величества -- Да.	3.0	1	4	4
1540	поставщик	Пусть мне докажут, что мы -- воры оттого, что не отдали скидки со счетов <b><i>поставщикам</i></b> или консулам.	Для <b><i>поставщика</i></b> (исполнителя) заключение государственного контракта является обязательным лишь в случаях, установленных законом, и при условии, что государственным заказчиком будут возмещены все убытки, которые могут быть причинены <b><i>поставщику</i></b> (исполнителю) в связи с выполнением государственного контракта.	3.0	4	1	4
1541	поставщик	Порядок сбора хлеба, места и сроки ссыпки, определение количества ссыпанного зерна и разрешение вопросов об условиях замены зерна денежными сборами предполагалось установить особой инструкцией (Приказ о земле, ст. 9 п. 7) и последующими приказами установлены были значительно более льготные условия платежа за землю: приказом от 26 июля 1920 года за 3367, разъяснено о взносе денежных и хлебных платежей за землю на 1920 г.: 1) взносы должны производиться лишь с посевной десятины (предполагалось ранее-- с круговой), в размере не свыше одной пятой действительного в текущем году урожая (по тексту приказа, вместо среднего за последние десять лет) и при том зерном того хлеба, который был засеян и собран (Приказ требовал -- ржи или пшеницы); 2) взносы эти поступают: по письменным и словесным договорам -- владельцам имений, если они или их доверенные имеются налицо, а во всех остальных случаях -- непосредственно в казну, и 3) все взносы скопщины и денежные платежи, поступающие от <b><i>поставщиков</i></b> как собственникам, так и в казну тотчас зачитываются плательщикам в качестве первого платежа государству в счет выкупной стоимости отчуждаемой земли, окончательный расчет за которую с бывшими собственниками принимает на себя государство.	Карты MiniSD популярны у <b><i>поставщиков</i></b> мобильных телефонов на рынке Японии и Южной Кореи.	3.3333333333333335	2	4	4
